Sales Person,Country,Product,Date,Amount,Boxes Shipped
Marney O'Breen,Australia,Manuka Honey Choco,10/16/2026,14939.24,238
Kaine Padly,Canada,Manuka Honey Choco,10/17/2026,10845.85,146
Jehu Rudeforth,UK,Baker's Choco Chips,10/18/2026,2832.78,104
Kelci Walkden,Australia,White Choc,10/19/2026,8879.72,177
Curtice Advani,India,85% Dark Bars,10/20/2026,298.34,399
Kaine Padly,USA,Eclairs,10/21/2026,7799.51,10
Gunar Cockshoot,UK,99% Dark & Pure,10/22/2026,8.04,85
Beverie Moffet,UK,Choco Coated Almonds,10/23/2026,3212.35,66
Dotty Strutley,Canada,Manuka Honey Choco,10/24/2026,12048.56,113
Kaine Padly,Australia,Milk Bars,10/25/2026,4499.64,91
Jan Morforth,Canada,Fruit & Nut Bars,10/26/2026,9984.16,207
Jan Morforth,India,Smooth Sliky Salty,10/27/2026,11867.83,95
Rafaelita Blaksland,Australia,Manuka Honey Choco,10/28/2026,4806.65,132
Jehu Rudeforth,UK,Milk Bars,10/29/2026,13420.93,232
Husein Augar,Canada,After Nines,10/30/2026,10407.51,301
Roddy Speechley,USA,50% Dark Bites,10/31/2026,10849.39,330
Van Tuxwell,India,Almond Choco,11/1/2026,7247.29,402
Kelci Walkden,USA,50% Dark Bites,11/2/2026,6387.65,227
Madelene Upcott,Canada,85% Dark Bars,11/3/2026,8373.42,108
Dennison Crosswaite,Canada,Smooth Sliky Salty,11/4/2026,1887.19,488
Mallorie Waber,Australia,Spicy Special Slims,11/5/2026,6054.04,287
Ches Bonnell,Canada,Choco Coated Almonds,11/6/2026,16254.61,268
Gigi Bohling,Canada,Spicy Special Slims,11/7/2026,13173.56,301
Roddy Speechley,New Zealand,Almond Choco,11/8/2026,2721.46,72
Curtice Advani,India,Smooth Sliky Salty,11/9/2026,19283.64,139
Ches Bonnell,New Zealand,Mint Chip Choco,11/10/2026,9327.52,232
Van Tuxwell,New Zealand,Fruit & Nut Bars,11/11/2026,3184.03,85
Andria Kimpton,New Zealand,Mint Chip Choco,11/12/2026,9738.74,209
Andria Kimpton,UK,Milk Bars,11/13/2026,16486.65,314
Camilla Castle,USA,Manuka Honey Choco,11/14/2026,16792.23,184
Gunar Cockshoot,New Zealand,Almond Choco,11/15/2026,5752.62,125
Brien Boise,India,Raspberry Choco,11/16/2026,6833.28,157
Jehu Rudeforth,USA,99% Dark & Pure,11/17/2026,2815.72,222
Beverie Moffet,Australia,Fruit & Nut Bars,11/18/2026,1545.36,269
Gigi Bohling,Canada,Milk Bars,11/19/2026,3432.73,120
Dotty Strutley,India,Spicy Special Slims,11/20/2026,1001.99,217
Gunar Cockshoot,USA,Organic Choco Syrup,11/21/2026,2494.19,315
Kelci Walkden,Australia,Raspberry Choco,11/22/2026,770.25,61
Jehu Rudeforth,India,Baker's Choco Chips,11/23/2026,2261.98,73
Karlen McCaffrey,New Zealand,Baker's Choco Chips,11/24/2026,5667.58,204
Wilone O'Kielt,USA,50% Dark Bites,11/25/2026,4738.71,125
Andria Kimpton,India,50% Dark Bites,11/26/2026,13661.89,15
Madelene Upcott,USA,Baker's Choco Chips,11/27/2026,6067.19,151
Jehu Rudeforth,Australia,99% Dark & Pure,11/28/2026,11720.99,204
Jan Morforth,Australia,Mint Chip Choco,11/29/2026,19999.55,106
Oby Sorrel,New Zealand,Milk Bars,11/30/2026,4484.03,201
Brien Boise,UK,Almond Choco,12/1/2026,107.24,129
Kelci Walkden,India,Smooth Sliky Salty,12/2/2026,2525.98,8
Rafaelita Blaksland,UK,Eclairs,12/3/2026,1577.84,67
Gigi Bohling,USA,Smooth Sliky Salty,12/4/2026,2972.07,129
Curtice Advani,New Zealand,Mint Chip Choco,12/5/2026,3691.63,284
Curtice Advani,USA,Mint Chip Choco,12/6/2026,5188.89,293
Madelene Upcott,New Zealand,Fruit & Nut Bars,12/7/2026,5766.51,21
Karlen McCaffrey,India,85% Dark Bars,12/8/2026,1036.77,82
Ches Bonnell,Australia,Caramel Stuffed Bars,12/9/2026,10033.52,163
Kelci Walkden,USA,Fruit & Nut Bars,12/10/2026,5220.69,154
Kelci Walkden,Canada,Peanut Butter Cubes,12/11/2026,8106.62,47
Gigi Bohling,Canada,Drinking Coco,12/12/2026,3934.09,86
Husein Augar,India,Fruit & Nut Bars,12/13/2026,4508.93,231
Jan Morforth,New Zealand,Organic Choco Syrup,12/14/2026,1921.57,226
Gigi Bohling,New Zealand,Raspberry Choco,12/15/2026,1161.31,181
Dennison Crosswaite,Australia,Milk Bars,12/16/2026,11389.29,282
Ches Bonnell,UK,Caramel Stuffed Bars,12/17/2026,3032.30,313
Van Tuxwell,USA,Fruit & Nut Bars,12/18/2026,6871.55,238
Andria Kimpton,Canada,Eclairs,12/19/2026,339.99,124
Madelene Upcott,India,Choco Coated Almonds,12/20/2026,3720.22,141
Kelci Walkden,New Zealand,Spicy Special Slims,12/21/2026,731.19,69
Roddy Speechley,Australia,Drinking Coco,12/22/2026,13288.65,112
Wilone O'Kielt,USA,Milk Bars,12/23/2026,5332.79,101
Andria Kimpton,India,Organic Choco Syrup,12/24/2026,3971.78,131
Madelene Upcott,UK,Fruit & Nut Bars,12/25/2026,9538.21,198
Curtice Advani,Australia,50% Dark Bites,12/26/2026,547.85,221
Brien Boise,Canada,Raspberry Choco,12/27/2026,2994.76,47
Gunar Cockshoot,India,Mint Chip Choco,12/28/2026,4451.38,71
Dennison Crosswaite,India,Mint Chip Choco,12/29/2026,14691.77,143
Barr Faughny,India,Caramel Stuffed Bars,12/30/2026,7042.98,107
Brien Boise,India,Milk Bars,12/31/2026,15583.00,248
Beverie Moffet,UK,Spicy Special Slims,1/1/2027,9059.82,268
Barr Faughny,USA,Almond Choco,1/2/2027,430.59,85
Van Tuxwell,Canada,Raspberry Choco,1/3/2027,1264.25,137
Wilone O'Kielt,Australia,Baker's Choco Chips,1/4/2027,2995.47,156
Brien Boise,Australia,Milk Bars,1/5/2027,2117.82,56
Husein Augar,Australia,Fruit & Nut Bars,1/6/2027,8081.79,54
Madelene Upcott,Australia,Organic Choco Syrup,1/7/2027,11542.54,49
Van Tuxwell,India,White Choc,1/8/2027,2183.68,46
Gunar Cockshoot,Canada,After Nines,1/9/2027,3125.34,191
Jan Morforth,USA,Fruit & Nut Bars,1/10/2027,4891.86,380
Jan Morforth,Canada,After Nines,1/11/2027,4881.32,183
Barr Faughny,New Zealand,Manuka Honey Choco,1/12/2027,5917.62,238
Karlen McCaffrey,New Zealand,85% Dark Bars,1/13/2027,6312.53,60
Oby Sorrel,Australia,85% Dark Bars,1/14/2027,7956.28,27
Curtice Advani,Canada,Choco Coated Almonds,1/15/2027,5895.88,7
Kaine Padly,India,70% Dark Bites,1/16/2027,13535.70,296
Beverie Moffet,USA,White Choc,1/17/2027,5639.90,129
Ches Bonnell,New Zealand,After Nines,1/18/2027,5813.44,356
Husein Augar,India,Spicy Special Slims,1/19/2027,2514.82,32
Gunar Cockshoot,Canada,50% Dark Bites,1/20/2027,3044.01,22
Curtice Advani,India,Milk Bars,1/21/2027,3902.04,214
Beverie Moffet,India,Milk Bars,1/22/2027,1928.74,354
Husein Augar,Australia,White Choc,1/23/2027,3251.53,241
Andria Kimpton,Canada,Manuka Honey Choco,1/24/2027,5031.94,495
Jan Morforth,New Zealand,Orange Choco,1/25/2027,1350.26,89
Andria Kimpton,Canada,Smooth Sliky Salty,1/26/2027,1187.71,75
Gunar Cockshoot,UK,Raspberry Choco,1/27/2027,7055.38,334
Husein Augar,New Zealand,After Nines,1/28/2027,7231.89,8
Andria Kimpton,New Zealand,Orange Choco,1/29/2027,9295.83,93
Dennison Crosswaite,UK,Baker's Choco Chips,1/30/2027,2276.94,296
Jehu Rudeforth,Canada,Orange Choco,1/31/2027,4229.79,548
Jehu Rudeforth,UK,Smooth Sliky Salty,2/1/2027,1640.53,119
Andria Kimpton,UK,Caramel Stuffed Bars,2/2/2027,8234.50,294
Jan Morforth,UK,White Choc,2/3/2027,10087.04,46
Dotty Strutley,USA,Fruit & Nut Bars,2/4/2027,3169.26,281
Kelci Walkden,UK,Choco Coated Almonds,2/5/2027,10355.42,215
Gunar Cockshoot,New Zealand,After Nines,2/6/2027,7772.63,140
Kaine Padly,Canada,85% Dark Bars,2/7/2027,1992.77,31
Jan Morforth,New Zealand,Manuka Honey Choco,2/8/2027,1815.56,266
Gunar Cockshoot,New Zealand,Raspberry Choco,2/9/2027,727.11,50
Van Tuxwell,Australia,99% Dark & Pure,2/10/2027,114.96,132
Curtice Advani,USA,Drinking Coco,2/11/2027,5378.09,142
Brien Boise,Australia,Spicy Special Slims,2/12/2027,6707.63,269
Mallorie Waber,New Zealand,85% Dark Bars,2/13/2027,8167.18,102
Wilone O'Kielt,USA,Choco Coated Almonds,2/14/2027,9950.14,6
Beverie Moffet,New Zealand,Organic Choco Syrup,2/15/2027,7229.26,215
Gunar Cockshoot,UK,50% Dark Bites,2/16/2027,2260.21,128
Marney O'Breen,USA,Raspberry Choco,2/17/2027,6206.90,149
Jehu Rudeforth,UK,White Choc,2/18/2027,1889.83,286
Jehu Rudeforth,New Zealand,85% Dark Bars,2/19/2027,7797.24,88
Dotty Strutley,USA,85% Dark Bars,2/20/2027,11644.92,536
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2/21/2027,4207.22,255
Curtice Advani,India,Manuka Honey Choco,2/22/2027,1683.88,169
Mallorie Waber,USA,Peanut Butter Cubes,2/23/2027,1337.36,18
Van Tuxwell,Canada,Peanut Butter Cubes,2/24/2027,7147.04,300
Kelci Walkden,New Zealand,Smooth Sliky Salty,2/25/2027,12030.46,296
Rafaelita Blaksland,USA,Smooth Sliky Salty,2/26/2027,15844.58,232
Rafaelita Blaksland,USA,White Choc,2/27/2027,5025.84,133
Roddy Speechley,Canada,Smooth Sliky Salty,2/28/2027,9902.03,12
Curtice Advani,New Zealand,After Nines,3/1/2027,7944.07,33
Camilla Castle,India,85% Dark Bars,3/2/2027,9523.65,55
Ches Bonnell,USA,Choco Coated Almonds,3/3/2027,16240.71,93
Marney O'Breen,Australia,Baker's Choco Chips,3/4/2027,5891.94,109
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,3/5/2027,6924.52,94
Kaine Padly,Australia,Mint Chip Choco,3/6/2027,4552.57,158
Camilla Castle,New Zealand,Peanut Butter Cubes,3/7/2027,1724.91,60
Curtice Advani,Canada,Organic Choco Syrup,3/8/2027,897.30,21
Jan Morforth,India,99% Dark & Pure,3/9/2027,10283.90,178
Rafaelita Blaksland,Canada,Drinking Coco,3/10/2027,10415.77,200
Jan Morforth,UK,Orange Choco,3/11/2027,4220.83,193
Barr Faughny,New Zealand,50% Dark Bites,3/12/2027,4909.86,304
Curtice Advani,Australia,Eclairs,3/13/2027,6549.62,53
Jan Morforth,India,Caramel Stuffed Bars,3/14/2027,88.72,165
Andria Kimpton,UK,White Choc,3/15/2027,9793.16,110
Camilla Castle,New Zealand,Raspberry Choco,3/16/2027,4823.65,143
Madelene Upcott,Australia,Orange Choco,3/17/2027,7556.55,404
Roddy Speechley,Canada,Eclairs,3/18/2027,7082.03,95
Karlen McCaffrey,India,White Choc,3/19/2027,8361.47,231
Wilone O'Kielt,India,Mint Chip Choco,3/20/2027,1310.50,52
Andria Kimpton,UK,99% Dark & Pure,3/21/2027,1288.10,67
Marney O'Breen,UK,50% Dark Bites,3/22/2027,3288.29,133
Ches Bonnell,India,Choco Coated Almonds,3/23/2027,10669.09,85
Madelene Upcott,UK,Raspberry Choco,3/24/2027,7361.93,344
Wilone O'Kielt,Australia,50% Dark Bites,3/25/2027,10336.22,123
Gigi Bohling,Canada,White Choc,3/26/2027,6985.95,4
Wilone O'Kielt,New Zealand,Eclairs,3/27/2027,3394.46,21
Brien Boise,UK,Peanut Butter Cubes,3/28/2027,15337.23,31
Roddy Speechley,UK,Baker's Choco Chips,3/29/2027,15925.17,378
Karlen McCaffrey,Australia,50% Dark Bites,3/30/2027,7355.77,772
Marney O'Breen,New Zealand,Organic Choco Syrup,3/31/2027,9489.27,54
Jan Morforth,UK,Organic Choco Syrup,4/1/2027,1281.32,354
Rafaelita Blaksland,Canada,Fruit & Nut Bars,4/2/2027,518.07,192
Ches Bonnell,UK,Choco Coated Almonds,4/3/2027,1933.56,239
Gunar Cockshoot,Canada,Almond Choco,4/4/2027,1308.52,30
Husein Augar,USA,99% Dark & Pure,4/5/2027,9878.50,111
Dennison Crosswaite,Canada,Mint Chip Choco,4/6/2027,1943.70,297
Brien Boise,UK,Manuka Honey Choco,4/7/2027,80.62,103
Van Tuxwell,UK,Baker's Choco Chips,4/8/2027,2678.37,20
Barr Faughny,Australia,Caramel Stuffed Bars,4/9/2027,2931.10,60
Dennison Crosswaite,USA,Eclairs,4/10/2027,2316.09,90
Gigi Bohling,Australia,Raspberry Choco,4/11/2027,6722.22,330
Dennison Crosswaite,USA,Organic Choco Syrup,4/12/2027,14528.51,134
Beverie Moffet,Canada,Orange Choco,4/13/2027,9390.28,104
Mallorie Waber,Australia,Choco Coated Almonds,4/14/2027,16230.41,94
Ches Bonnell,India,Caramel Stuffed Bars,4/15/2027,7224.39,55
Van Tuxwell,Canada,50% Dark Bites,4/16/2027,15567.58,57
Kelci Walkden,New Zealand,Baker's Choco Chips,4/17/2027,2964.20,105
Beverie Moffet,India,Spicy Special Slims,4/18/2027,3357.08,186
Gigi Bohling,Australia,Almond Choco,4/19/2027,1010.37,127
Rafaelita Blaksland,New Zealand,Eclairs,4/20/2027,20470.43,54
Kelci Walkden,Canada,Smooth Sliky Salty,4/21/2027,8762.75,115
Jan Morforth,India,Baker's Choco Chips,4/22/2027,14613.52,85
Jehu Rudeforth,Australia,Milk Bars,4/23/2027,9839.46,31
Gigi Bohling,Canada,Fruit & Nut Bars,4/24/2027,6633.23,103
Beverie Moffet,UK,Eclairs,4/25/2027,9749.07,169
Marney O'Breen,New Zealand,Eclairs,4/26/2027,5254.38,31
Husein Augar,Australia,99% Dark & Pure,4/27/2027,3430.43,123
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,4/28/2027,10454.55,434
Curtice Advani,Canada,70% Dark Bites,4/29/2027,2413.87,7
Kelci Walkden,New Zealand,Manuka Honey Choco,4/30/2027,1445.14,108
Dotty Strutley,Australia,Baker's Choco Chips,5/1/2027,4022.64,71
Barr Faughny,Australia,85% Dark Bars,5/2/2027,8651.20,43
Beverie Moffet,Australia,50% Dark Bites,5/3/2027,725.16,453
Gunar Cockshoot,India,Baker's Choco Chips,5/4/2027,2385.40,540
Van Tuxwell,Australia,50% Dark Bites,5/5/2027,726.04,131
Oby Sorrel,USA,Manuka Honey Choco,5/6/2027,4742.35,83
Van Tuxwell,Canada,Choco Coated Almonds,5/7/2027,2556.96,312
Karlen McCaffrey,Canada,70% Dark Bites,5/8/2027,8376.69,646
Kelci Walkden,Canada,Fruit & Nut Bars,5/9/2027,840.71,162
Camilla Castle,India,99% Dark & Pure,5/10/2027,207.87,216
Madelene Upcott,New Zealand,70% Dark Bites,5/11/2027,13370.34,94
Mallorie Waber,New Zealand,Orange Choco,5/12/2027,6811.37,25
Jan Morforth,Canada,70% Dark Bites,5/13/2027,6096.52,300
Kelci Walkden,Australia,Milk Bars,5/14/2027,8684.58,120
Dennison Crosswaite,India,Orange Choco,5/15/2027,873.26,140
Husein Augar,UK,Eclairs,5/16/2027,1912.66,253
Gigi Bohling,USA,Peanut Butter Cubes,5/17/2027,321.61,76
Wilone O'Kielt,USA,Smooth Sliky Salty,5/18/2027,511.12,96
Curtice Advani,India,White Choc,5/19/2027,7887.15,335
Oby Sorrel,New Zealand,Spicy Special Slims,5/20/2027,1793.67,13
Beverie Moffet,New Zealand,Peanut Butter Cubes,5/21/2027,12129.42,29
Dotty Strutley,New Zealand,99% Dark & Pure,5/22/2027,11749.75,213
Kelci Walkden,India,70% Dark Bites,5/23/2027,3967.25,101
Kelci Walkden,India,Drinking Coco,5/24/2027,8105.37,255
Brien Boise,New Zealand,Drinking Coco,5/25/2027,1614.17,106
Dotty Strutley,Australia,Almond Choco,5/26/2027,1613.30,91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,5/27/2027,2155.64,281
Ches Bonnell,New Zealand,Caramel Stuffed Bars,5/28/2027,8184.37,43
Barr Faughny,Canada,Manuka Honey Choco,5/29/2027,3613.32,251
Gigi Bohling,New Zealand,Smooth Sliky Salty,5/30/2027,801.09,101
Brien Boise,USA,Manuka Honey Choco,5/31/2027,2069.48,8
Roddy Speechley,New Zealand,85% Dark Bars,6/1/2027,5096.21,284
Oby Sorrel,UK,Smooth Sliky Salty,6/2/2027,10573.50,338
Oby Sorrel,UK,Raspberry Choco,6/3/2027,4611.37,322
Roddy Speechley,USA,Drinking Coco,6/4/2027,3288.77,148
Andria Kimpton,Australia,Manuka Honey Choco,6/5/2027,10883.13,394
Mallorie Waber,India,Raspberry Choco,6/6/2027,1516.56,2
Jehu Rudeforth,USA,Orange Choco,6/7/2027,391.33,184
Kaine Padly,New Zealand,70% Dark Bites,6/8/2027,7969.08,38
Curtice Advani,Australia,After Nines,6/9/2027,63.71,109
Husein Augar,UK,Almond Choco,6/10/2027,8832.33,175
Kaine Padly,Canada,Choco Coated Almonds,6/11/2027,3542.19,180
Roddy Speechley,UK,Peanut Butter Cubes,6/12/2027,6052.07,173
Ches Bonnell,New Zealand,Eclairs,6/13/2027,543.20,54
Brien Boise,India,85% Dark Bars,6/14/2027,18894.92,201
Brien Boise,New Zealand,Organic Choco Syrup,6/15/2027,689.40,331
Andria Kimpton,Canada,White Choc,6/16/2027,4435.95,31
Gigi Bohling,New Zealand,Orange Choco,6/17/2027,9111.34,324
Ches Bonnell,Canada,Smooth Sliky Salty,6/18/2027,10369.71,129
Husein Augar,Canada,70% Dark Bites,6/19/2027,5833.20,290
Barr Faughny,Canada,Organic Choco Syrup,6/20/2027,1229.96,219
Oby Sorrel,UK,Organic Choco Syrup,6/21/2027,8839.72,170
Van Tuxwell,New Zealand,Eclairs,6/22/2027,5747.66,176
Mallorie Waber,UK,Drinking Coco,6/23/2027,3666.04,107
Oby Sorrel,UK,Milk Bars,6/24/2027,6853.82,220
Karlen McCaffrey,New Zealand,Mint Chip Choco,6/25/2027,4361.01,59
Jehu Rudeforth,USA,Raspberry Choco,6/26/2027,7686.15,141
Kelci Walkden,UK,85% Dark Bars,6/27/2027,4188.43,235
Kelci Walkden,USA,Almond Choco,6/28/2027,5425.24,234
Marney O'Breen,Canada,Orange Choco,6/29/2027,2896.97,456
Dennison Crosswaite,India,Fruit & Nut Bars,6/30/2027,1071.31,23
Brien Boise,Canada,Smooth Sliky Salty,7/1/2027,6417.05,497
Barr Faughny,Canada,Baker's Choco Chips,7/2/2027,10967.31,172
Brien Boise,India,Smooth Sliky Salty,7/3/2027,6345.02,28
Jan Morforth,Australia,Drinking Coco,7/4/2027,2824.71,25
Brien Boise,India,Spicy Special Slims,7/5/2027,1463.67,34
Van Tuxwell,UK,Eclairs,7/6/2027,5856.52,115
Wilone O'Kielt,India,Caramel Stuffed Bars,7/7/2027,4303.86,282
Jehu Rudeforth,UK,After Nines,7/8/2027,2047.77,169
Barr Faughny,Canada,White Choc,7/9/2027,4692.36,1
Gunar Cockshoot,India,Organic Choco Syrup,7/10/2027,7302.42,153
Mallorie Waber,Canada,Smooth Sliky Salty,7/11/2027,2056.92,103
Mallorie Waber,India,Eclairs,7/12/2027,11032.79,49
Rafaelita Blaksland,Australia,Raspberry Choco,7/13/2027,7773.64,247
Karlen McCaffrey,UK,50% Dark Bites,7/14/2027,3843.01,295
Kaine Padly,Australia,50% Dark Bites,7/15/2027,9163.79,81
Gigi Bohling,Australia,Eclairs,7/16/2027,7628.59,146
Oby Sorrel,India,Drinking Coco,7/17/2027,18220.59,139
Van Tuxwell,New Zealand,Baker's Choco Chips,7/18/2027,9828.94,24
Husein Augar,India,Peanut Butter Cubes,7/19/2027,4726.65,5
Andria Kimpton,Australia,Baker's Choco Chips,7/20/2027,344.82,118
Madelene Upcott,Canada,Choco Coated Almonds,7/21/2027,3451.24,283
Brien Boise,India,70% Dark Bites,7/22/2027,5071.49,439
Jehu Rudeforth,Canada,White Choc,7/23/2027,4719.38,132
Andria Kimpton,Australia,Almond Choco,7/24/2027,3430.58,174
Dotty Strutley,Canada,After Nines,7/25/2027,268.30,239
Karlen McCaffrey,USA,Eclairs,7/26/2027,991.46,133
Karlen McCaffrey,Canada,Fruit & Nut Bars,7/27/2027,213.45,17
Gunar Cockshoot,USA,85% Dark Bars,7/28/2027,7586.38,131
Dotty Strutley,New Zealand,Raspberry Choco,7/29/2027,6192.19,99
Marney O'Breen,Canada,Caramel Stuffed Bars,7/30/2027,1510.58,602
Dennison Crosswaite,India,Organic Choco Syrup,7/31/2027,8693.31,209
Camilla Castle,UK,Mint Chip Choco,8/1/2027,5509.77,307
Brien Boise,USA,70% Dark Bites,8/2/2027,1863.20,22
Madelene Upcott,Australia,99% Dark & Pure,8/3/2027,4822.50,159
Mallorie Waber,Australia,Eclairs,8/4/2027,10856.55,229
Marney O'Breen,India,99% Dark & Pure,8/5/2027,11252.11,159
Husein Augar,USA,Fruit & Nut Bars,8/6/2027,1387.72,27
Kelci Walkden,Australia,Almond Choco,8/7/2027,5509.22,341
Ches Bonnell,USA,Milk Bars,8/8/2027,2444.25,155
Jan Morforth,UK,Caramel Stuffed Bars,8/9/2027,3175.62,507
Brien Boise,New Zealand,70% Dark Bites,8/10/2027,7900.42,143
Oby Sorrel,India,85% Dark Bars,8/11/2027,9072.46,142
Kaine Padly,New Zealand,Smooth Sliky Salty,8/12/2027,8.06,513
Gigi Bohling,Australia,70% Dark Bites,8/13/2027,1548.54,104
Jan Morforth,UK,50% Dark Bites,8/14/2027,5501.67,298
Gunar Cockshoot,Canada,White Choc,8/15/2027,7685.42,15
Jehu Rudeforth,Australia,Spicy Special Slims,8/16/2027,5147.77,402
Husein Augar,UK,Baker's Choco Chips,8/17/2027,3070.43,143
Rafaelita Blaksland,New Zealand,After Nines,8/18/2027,1127.50,88
Madelene Upcott,New Zealand,Mint Chip Choco,8/19/2027,8502.77,4
Madelene Upcott,UK,70% Dark Bites,8/20/2027,5961.02,241
Barr Faughny,Australia,Organic Choco Syrup,8/21/2027,2478.33,33
Beverie Moffet,New Zealand,Drinking Coco,8/22/2027,1269.56,497
Beverie Moffet,India,Eclairs,8/23/2027,11130.52,144
Andria Kimpton,India,Eclairs,8/24/2027,2455.09,83
Gigi Bohling,UK,85% Dark Bars,8/25/2027,12764.94,100
Roddy Speechley,UK,Raspberry Choco,8/26/2027,13351.42,198
Dotty Strutley,UK,Mint Chip Choco,8/27/2027,2763.22,223
Barr Faughny,Canada,Drinking Coco,8/28/2027,6523.34,245
Oby Sorrel,USA,Milk Bars,8/29/2027,1868.25,82
Oby Sorrel,UK,Orange Choco,8/30/2027,8431.83,251
Curtice Advani,Canada,Peanut Butter Cubes,8/31/2027,5646.99,64
Gigi Bohling,India,White Choc,9/1/2027,1484.67,180
Husein Augar,Canada,Choco Coated Almonds,9/2/2027,3859.95,395
Wilone O'Kielt,India,Choco Coated Almonds,9/3/2027,3237.30,227
Wilone O'Kielt,New Zealand,Baker's Choco Chips,9/4/2027,4072.43,64
Kaine Padly,UK,Choco Coated Almonds,9/5/2027,8054.87,118
Dennison Crosswaite,New Zealand,Organic Choco Syrup,9/6/2027,420.30,224
Kelci Walkden,Canada,After Nines,9/7/2027,17073.99,218
Van Tuxwell,Australia,Baker's Choco Chips,9/8/2027,13624.31,33
Husein Augar,New Zealand,Peanut Butter Cubes,9/9/2027,2318.46,235
Kaine Padly,UK,Caramel Stuffed Bars,9/10/2027,10740.05,67
Jehu Rudeforth,UK,Drinking Coco,9/11/2027,7624.67,422
Beverie Moffet,India,Manuka Honey Choco,9/12/2027,10168.32,159
Gunar Cockshoot,UK,Choco Coated Almonds,9/13/2027,6635.15,141
Gunar Cockshoot,UK,Smooth Sliky Salty,9/14/2027,860.12,158
Camilla Castle,Canada,Orange Choco,9/15/2027,8671.21,52
Jehu Rudeforth,UK,85% Dark Bars,9/16/2027,5534.11,63
Oby Sorrel,UK,70% Dark Bites,9/17/2027,6800.26,187
Kelci Walkden,UK,99% Dark & Pure,9/18/2027,3927.83,123
Gigi Bohling,New Zealand,After Nines,9/19/2027,5833.80,196
Oby Sorrel,Australia,50% Dark Bites,9/20/2027,733.08,147
Oby Sorrel,Canada,50% Dark Bites,9/21/2027,7164.51,140
Barr Faughny,USA,White Choc,9/22/2027,7900.52,175
Rafaelita Blaksland,New Zealand,99% Dark & Pure,9/23/2027,3550.76,85
Curtice Advani,Australia,Caramel Stuffed Bars,9/24/2027,10281.51,136
Curtice Advani,New Zealand,85% Dark Bars,9/25/2027,5936.81,180
Barr Faughny,New Zealand,Smooth Sliky Salty,9/26/2027,4552.15,172
Ches Bonnell,UK,85% Dark Bars,9/27/2027,15944.86,11
Dennison Crosswaite,Australia,Drinking Coco,9/28/2027,7722.58,188
Roddy Speechley,USA,Milk Bars,9/29/2027,3105.38,268
Jan Morforth,India,After Nines,9/30/2027,6994.35,179
Gunar Cockshoot,USA,After Nines,10/1/2027,4264.49,252
Ches Bonnell,India,Orange Choco,10/2/2027,1215.30,271
Mallorie Waber,UK,Manuka Honey Choco,10/3/2027,8519.37,45
Barr Faughny,Australia,Raspberry Choco,10/4/2027,9810.95,105
Wilone O'Kielt,USA,Drinking Coco,10/5/2027,1065.63,107
Wilone O'Kielt,India,Eclairs,10/6/2027,3894.68,80
Wilone O'Kielt,India,After Nines,10/7/2027,12194.27,252
Kelci Walkden,India,99% Dark & Pure,10/8/2027,2455.13,236
Gunar Cockshoot,Canada,Spicy Special Slims,10/9/2027,14887.76,12
Madelene Upcott,Canada,Peanut Butter Cubes,10/10/2027,15276.46,121
Kaine Padly,New Zealand,Eclairs,10/11/2027,13520.48,47
Ches Bonnell,New Zealand,Drinking Coco,10/12/2027,9195.53,127
Curtice Advani,UK,Drinking Coco,10/13/2027,460.98,182
Kelci Walkden,India,Raspberry Choco,10/14/2027,8216.56,257
Dotty Strutley,Australia,Choco Coated Almonds,10/15/2027,1863.54,277
Kaine Padly,UK,50% Dark Bites,10/16/2027,3283.00,72
Roddy Speechley,Canada,Choco Coated Almonds,10/17/2027,5967.18,247
Ches Bonnell,India,50% Dark Bites,10/18/2027,12083.50,334
Oby Sorrel,Canada,Peanut Butter Cubes,10/19/2027,12397.06,179
Oby Sorrel,UK,White Choc,10/20/2027,1746.01,280
Barr Faughny,India,After Nines,10/21/2027,9021.65,104
Wilone O'Kielt,Canada,Smooth Sliky Salty,10/22/2027,5263.45,165
Rafaelita Blaksland,India,Mint Chip Choco,10/23/2027,15473.00,91
Rafaelita Blaksland,Canada,99% Dark & Pure,10/24/2027,5566.57,140
Van Tuxwell,Australia,70% Dark Bites,10/25/2027,8111.43,111
Beverie Moffet,USA,70% Dark Bites,10/26/2027,2341.80,117
Barr Faughny,Canada,Orange Choco,10/27/2027,8650.42,19
Roddy Speechley,Australia,85% Dark Bars,10/28/2027,4444.72,77
Oby Sorrel,India,Spicy Special Slims,10/29/2027,12531.37,86
Jan Morforth,UK,Manuka Honey Choco,10/30/2027,3558.89,231
Kaine Padly,Australia,After Nines,10/31/2027,7889.90,300
Wilone O'Kielt,Canada,Fruit & Nut Bars,11/1/2027,3589.18,176
Wilone O'Kielt,UK,Milk Bars,11/2/2027,305.39,62
Oby Sorrel,Canada,Fruit & Nut Bars,11/3/2027,1896.64,161
Dennison Crosswaite,USA,Baker's Choco Chips,11/4/2027,18494.72,298
Madelene Upcott,USA,Almond Choco,11/5/2027,11103.47,24
Van Tuxwell,New Zealand,50% Dark Bites,11/6/2027,4162.28,11
